disease_en	disease_jp
chronic myeloid leukemia	慢性骨髄性白血病(chronic myelogenous leukemia)
chronic obstructive pulmonary diease	慢性閉塞性肺疾患[略 COPD]
chronic osteomyelitis	慢性骨髄炎
chronic pain	慢性痛
chronic paranasal sinusitis	慢性副鼻腔炎
chronic sclerosing sialadenitis	慢性硬化性唾液腺炎[[歯]]
chronic sialoadenitis	慢性唾液腺炎[[歯]]
chronic subdural hematoma	慢性硬膜下血腫 
chronic subdural hygroma	慢性硬膜下水腫
chronic ulcerative pulpitis	慢性潰瘍性歯髄炎
chronic villous polyarthritis	慢性絨毛性多発性関節炎
chylemia	乳糜血症
chylothorax	乳糜胸(chylopleura; chylous hydrothorax) /糜=び/
chylopleura	乳糜胸(chylothorax; chylous hydrothorax) /糜=び/
chylous hydrothorax	乳糜胸(chylothorax; chylopleura) /糜=び/
circulatory collapse	循環虚脱
cirrhosis	肝硬変
congestive cirrhosis	うっ血性肝硬変
portal cirrhosis	門脈性肝硬変
cirrhotic kidney	硬変腎
cirrhotic liver	硬変肝
claudication	跛行
intermittent claudication	間欠性跛行∥間歇的跛行
clear cell acanthoma	明細胞性棘細胞腫
clear cell hidradenoma	明細胞汗腺腫
cleft lip	唇裂∥口唇裂
cleft of lower lip	下唇裂
cleft palate	口蓋裂(palatoschisis)
cleft of soft palate	軟口蓋裂
cleft uvula	口蓋垂裂(uvula bifida[L])
cleidocranial dysostosis	鎖骨頭蓋異骨症(dysostosis cleidocranialis[L])
clinodactylia	彎曲指(症)(clinodactylia; clinodactylism; clinodactyly)
clinodactylism	彎曲指(症)(clinodactylia; clinodactyly)
clinodactyly	彎曲指(症)(clinodactylia; clinodactylism)
clitorrahagia	陰核出血
closed fracture	閉鎖骨折
clubbed finger	バチ指∥バチ状指∥太鼓バチ指∥太鼓バチ状指
coagulopathy	血液凝固障害∥凝固障害
coarctation of aorta	大動脈縮窄
coccidiosis	コクシジウム症
cochleitis	蝸牛炎
colic	疝痛
ureteral colic	尿管疝痛
colicoplegia	疝痛麻痺
colicystitis	大腸菌性膀胱炎
colicystopyelitis	大腸菌性膀胱腎盂炎
colitis	大腸炎
ulcerative colitis	潰瘍性大腸炎
collagenitis	コラーゲン炎
collapse delirium	虚脱譫妄
collum valgum	外反股[略 PBC](=coxa valga[L])
colonalgia	結腸痛
colonitis	結腸炎
colonopathy	結腸疾患
colonorrhea	粘液性結腸炎
coloproctitis	結腸直腸炎
colovesical fistula	結腸膀胱瘻
colpalgia	膣痛
colpatresia	膣閉鎖(症)(vaginal atresia)
colpitis	膣炎
colpocele	膣ヘルニア
colpocystitis	膣膀胱炎
colpopathy	膣疾患
colporrhagia	膣出血
coma	昏睡
diabetic coma	糖尿病性昏睡
combat neurosis	戦争神経症(war neurosis)
comminuted fracture	粉砕骨折(thrypsis)
common bile duct stone	総胆管結石
compensatory hypertrophy	代償性肥大
composite odontoma	複合性歯牙腫
compound fracture	開放骨折(open fracture)
compound nevus	複合性母斑
compression atrophy	圧迫萎縮(pressure atrophy)
compression fracture	圧迫骨折
compression necrosis	圧迫壊死
conchitis	甲介炎
conduction hearing impairment	伝導聴覚障害
condyloma	コンジローマ
condyloma acuminatum	尖形コンジローマ
congenital facial defect	先天性顔面欠損(facial birth defect)
congenital hearing loss	先天性難聴
congenital heart failure	先天性心不全[略 CHF]
congenital pneumonia	先天性肺炎
congenital rubella syndrome	先天性風疹症候群[略 CRS]
congenital salivary fistula	先天性唾液瘻
congenital syphilis	先天性梅毒
congestive heart failure	うっ血性心不全[略 CHF]
coniosis	1.塵埃症; 2.塵肺(症)[2](=pneumoconiosis)
conjunctival foreign body	結膜異物
conjunctivitis	結膜炎
constipation	便秘
contact allergy	接触性アレルギー
contact dermatitis	接触性皮膚炎
contracted kidney	萎縮腎
contracture	拘縮
paralytic contracture	麻痺性拘縮
contused wound	挫創
contusion	挫傷∥打撲傷
convulsion	痙攣
convulsive disorder	痙攣性疾患
coprostasis	宿便(fecal impaction)
corneal clouding	角膜混濁
corneal disease	角膜疾患
corneal foreign body	角膜異物
corneal hypoxia	角膜酸素不足
corneal marginal ulcer	角膜辺縁潰瘍
corneal ulcer	角膜潰瘍(keratohelcosis)
corneitis	角膜炎
cortical paralysis	皮質性麻痺
costal chondritis	肋軟骨炎
costalgia	肋骨痛
coxa valga	外反股[略 CHF](=collum valgum[L])
coxa vara	内反股[略 CHF]
cramp	痙攣
intermittent cramp	間欠痙攣
cranial polyneuritis	多発脳神経炎
craniofacial dysostosis	頭蓋顔面異骨症
craniomalacia	頭蓋骨軟化(症)
craniopathy	頭蓋病
craniopharyngioma	頭蓋咽頭腫∥頭蓋咽頭管腫瘍
cranioschisis	頭蓋披裂∥頭蓋裂∥二分頭蓋
craniosclerosis	頭蓋骨硬化症
craniostenosis	狭頭(症)
craniostosis	頭蓋縫合早期骨化(症)
craniosynostosis	頭蓋骨縫合早期癒合症∥頭蓋骨癒合症∥狭頭症
cricopharyngeal spasm	輪状咽頭痙攣
cryoglobulinemia	寒冷グロブリン血症
cryptococcal meningitis	クリプトコッカス髄膜炎
cryptogenic infection	無症状感染
cryptogenic liver cirrhosis	無症状肝硬変
cryptorchidism	停留睾丸∥停留精巣(retained testis; undescended testis; retentio testis[L])
cubital tunnel syndrome	肘部管症候群
cubitus valgus	外反肘(略 CHF)
cubitus varus	内反肘(略 CHF) (bow elbow)
cushing's syndrome	クッシング症候群
cutaneous abscess	皮下膿瘍(skin abscess; subcutaneous abscess)
cyanosis	チアノーゼ
cylindroma	円柱腫
cyst of papilla palatina	口蓋乳頭嚢胞
dentigerous cyst	含歯性嚢胞
dermoid cyst	類皮嚢胞
epidermoid cyst	類表皮嚢胞
eruption cyst	萌出嚢胞
globulomaxillary cyst	球状上顎嚢胞
median mandibular cyst	正中下顎嚢胞
median palatine cyst	正中上顎嚢胞
mucous cyst	粘液嚢胞
mucous retention cyst	粘液停滞嚢胞
lymphoepithelial cyst	リンパ上皮性嚢胞
nasopalatine duct cyst	鼻口蓋管嚢胞
nasoalveolar cyst	鼻歯槽嚢胞
postoperative maxillary cyst	術後性上顎嚢胞
primordial cyst	原始性嚢胞
radicular cyst	歯根嚢胞
solitary bone cyst	孤在性骨嚢胞
static bone cyst	静止性骨嚢胞
thyroglossal duct cyst	甲状舌管嚢胞
traumatic bone cyst	外傷性骨嚢胞
cystadenocarcinoma	嚢胞腺癌
cystadenofibroma	嚢胞性線維腺腫
cystadenolymphoma	嚢腺リンパ腫
cystadenoma	嚢腺腫
papillary cystadenoma	乳頭状嚢腺腫
mucinous cystadenoma	粘液性嚢腺腫
cystalgia	膀胱痛
cystic fibroma	嚢胞性線維腫
cystic fibrosis	嚢胞性線維症∥嚢状線維症
cystic hygroma	嚢胞水腫
cystic lymphangioma	嚢胞性リンパ管腫
cystic mastitis	嚢胞性乳腺炎
cystic odontoma	嚢胞性歯牙腫
cystitis	膀胱炎
emphysematous cystitis	気腫性膀胱炎
hemorrhagic cystitis	出血性膀胱炎
cystocele	膀胱瘤
cystodynia	膀胱痛
cystolithiasis	膀胱結石症
cystoma	嚢腫
cystomatits	嚢腫炎
cystomyxoma	粘液嚢腫
cystoneuralgia	膀胱神経痛
cystoparalysis	膀胱麻痺
cystoplegia	膀胱麻痺
cystoptosis	膀胱下垂[症]
cystopyelitis	膀胱腎盂炎
cystosarcoma	嚢胞肉腫
cystosarcoma phyllodes	葉状嚢胞肉腫
cystoschisis	膀胱裂
cytomegalic inclusion disease	巨大細胞性封入体症
dacryadenalgia	涙腺痛
dacryadenitis	涙腺炎
dacryocystalgia	涙嚢痛
dacryocystitis	涙嚢炎
dacryocystocele	涙嚢ヘルニア
dacryopyosis	涙管化膿(症)
dactylalgia	指痛
dactyledema	指浮腫
dactylitis	指炎
dactylodynia	指痛
dactylolysis	1.合指分離術; 2.指趾欠損(症)
dactylomegaly	巨指症
dactylosymphysis	合指症∥指癒合症
deafness	聾
decreased systemic vascular resistance	全身性血管抵抗減少
deforming spondylitis	変形性脊椎炎(spondylitis deformans[L])
degeneration	変性
calcareous degeneration	石灰変性
fatty degeneration	脂肪変性
fibrinoid degeneration	線維素様変性∥フィブリン様変性
granulovacuolar degeneration	顆粒空胞変性
mucous degeneration	粘液変性
vacuolar degeneration	空胞変性
degenerative disc disease	変性円板疾患[略 DDD]
deglutition pneumonia	嚥下性肺炎
dehydration	脱水症
dementia	痴呆
dementia paralytica	麻痺性痴呆[L]
dementia praecox	早発性痴呆[L]
dengue hemorrhagic fever	デング出血熱[略 DHF]
dentalgia	歯痛
dentinogenesis imperfecta	象牙質形成不全症[L]
dentinoma	象牙質腫
denture fibroma	義歯性線維腫
denture stomatitis	義歯性口内炎
dermatalgia	皮膚痛(dermatodynia)
dermatitis	皮膚炎
exfoliative dermatitis	剥離性皮膚炎
herpetiform dermatitis	ヘルペス状皮膚炎∥疱疹状皮膚炎(dermatitis herpetiformis[L])
dermatitis herpetiformis	ヘルペス状皮膚炎∥疱疹状皮膚炎[L](=herpetiform dermatitis)
dermatoarthritis	皮膚関節炎
dermatocellulitis	皮膚蜂巣炎
dermatocyst	皮膚嚢腫
dermatodynia	皮膚痛(dermatalgia)
dermatofibrosarcoma	皮膚線維肉腫
dermatofibrosarcoma protuberans	隆起性皮膚線維肉腫[L](=protuberant dermatofibrosarcoma)
dermatofibrosis	皮膚線維症
dermatomyositis	皮膚筋炎
dermatosis	皮膚病∥皮膚症
intoxication dermatosis	中毒疹
dermopathy	皮膚病
desmodynia	靭帯痛
desmopathy	靭帯病
desmorrhexis	靭帯断裂
desquamative gingivitis	剥離性歯肉炎[[歯]]
desquamative inflammatory vaginitis	落屑性炎症性膣炎
desquamative interstitial pneumonia	剥離性間質性肺炎
developmental bone cavity	発育性骨空洞
dextrocardia	右心症
dextrogastria	右胃症
diabetes insipidus	尿崩症
diabetes mellitus	真性糖尿病∥糖尿病
diabetic collapse	糖尿病性虚脱
diabetic ear	糖尿病耳
diabetic gangrene	糖尿病性壊疽
diabetic gingivitis	糖尿病性歯肉炎
diabetic hypertension	糖尿病性高血圧
diabetic nephropathy	糖尿病性腎症
diabetic neuropathy	糖尿病性神経症∥糖尿病性神経障害
diabetic peripheral neuropathy	糖尿病性末梢神経障害∥糖尿病性末梢性ニューロパチー∥糖尿病性末梢性ニューロパシー
diabetic polyneuritis	糖尿病性多発性神経炎
diabetic retinopathy	糖尿病性網膜症
diabetic stomatitis	糖尿病性口内炎
diaphysitis	骨幹炎
diarrhea	下痢
toxic diarrhea	中毒性下痢
tropical diarrhea	熱帯性下痢
tuberculous diarrhea	結核性下痢
diastematocrania	頭蓋正中離開
diataxia	両側運動失調(症)
diataxia cerebralis infantilis	小児脳性両側運動失調(症)[L]
dicliditis	心弁炎
diencephalosis	間脳症
diffuse glomerulonephritis	瀰漫性糸球体腎炎
dimelia	重複肢症∥複肢症
diplocoria	複瞳孔[症]∥重複瞳孔[症]∥二重瞳孔(症)
diplomellituria	二重糖尿(症)
diphtheria	ジフテリア
diphtheritic croup	ジフテリア性喉頭炎
diphtheritic myocarditis	ジフテリア性心筋炎
diphtheritic neuritis	ジフテリア神経炎
diphtheritic pseudomembrane	ジフテリア偽膜
diphtheritic stomatitis	ジフテリア性口内炎
diplegia	両側麻痺∥両麻痺∥対麻痺
diplomelia	重複肢症
diplopia	複視
direct fracture	直達骨折
diskitis	椎間板炎
dislocation	1.脱臼; 2.転位
shoulder dislocation	肩脱臼
dissemination	播種
peritoneal dissemination	腹膜播種
disseminated intravascular coagulation	播種性血管内凝固[略 DIC]
sensory disturbance	感覚障害
diverticular peritonitis	憩室性腹膜炎
diverticulitis	憩室炎
diverticulosis	憩室症
dizziness	眩暈=めまい(vertigo)
dolichocolon	長結腸[症]∥結腸過長(症)
dorsalgia	背痛
double cancer	重複癌
drug abuse	薬物乱用
drug dependence	薬物依存(症)
drug eruption	薬疹(drug rash)
drug-induced pneumonia 	薬物性肺炎∥薬剤性肺炎
drug nephropathy	薬剤性腎症
drug pneumonia	薬剤性肺炎
drug rash	薬疹(drug eruption)
dry pleurisy	乾性胸膜炎(pleuritis sicca[L])
dry socket	乾燥抜歯窩[[歯]]
ductal papilloma	導管乳頭腫
duodenal obstruction	十二指腸閉塞(症)
duodenal stenosis	十二指腸狭窄
duodenal ulcer	十二指腸潰瘍
duodenitis	十二指腸炎
duodenocholangitis	十二指腸総胆管炎
dust infection	塵埃感染
dysautonomia	自律神経障害∥自律神経失調
dyschezia	排便困難∥排便障害
dyscoria	瞳孔異常
dysdipsia	飲食困難
dysentery	赤痢
dysergia	作動不全
dysesthesia	感覚異常∥知覚不全
renal dysfunction	腎機能障害∥腎障害
dyskeratosis	異角化
dyslogia	談話困難(症)
dysmotility	運動障害
dysostosis	異骨症∥骨形成不全症
dysostosis cleidocranialis	鎖骨頭蓋異骨症[L](=cleidocranial dysostosis)
dyspepsia	消化不良
dysphagia	嚥下困難∥嚥下障害
dysphoria	不快∥身体違和
dyspituitarism	下垂体[機能]不全
dysplasia	異形成(症)
fibrous dysplasia	線維性[骨]異形成
dysplatic nervus syndrome	異型母斑症候群
dyspnea	呼吸困難
dysreflexia	反射異常
dysregulation	調節障害
dysrhythmia	律動異常
dyssomnia	睡眠異常
dysspermia	射精困難(症)
dysstasia	起立困難
dyssystole	収縮期障害
dysthymia	気分変調
dystithia	授乳困難[症]∥哺乳障害
dystocia	難産∥異常分娩
dysuria	排尿困難
ebola hemorrhagic fever	エボラ出血性熱
ecchymosis	斑状出血
echinococcosis	エキノコックス症
pulmonary echinococcosis	肺エキノコックス症
echopathy	反響症
eclabium	唇外反
eclipse retinitis	日食性網膜炎
ecthyma	膿瘡
ectocardia	心臓偏位
ectopic lens	偏位水晶体
ectopic pregnancy	子宮外妊娠
ectopic thyroid gland	異所性甲状腺
ectrodactylia	欠指[症]∥欠趾(症)(ectrodactylism; ectrodactyly)
ectrodactylism	欠指[症]∥欠趾(症)(ectrodactylia; ectrodactyly)
ectrodactyly	欠指[症]∥欠趾(症)(ectrodactylia; ectrodactylism)
ectrogeny	形成欠落
ectromelia	欠肢症
ectromelus	欠肢体
eczema	湿疹
eczema erythematosum	紅斑性湿疹[L]
edema	水腫∥浮腫
subglottic edema	声門下水腫
edentulism	無歯症(anodontia)
elastosis	弾性線維症
elephantiasis scroti	リンパ陰嚢[L](=lymph scrotum)
ellipsis	文字省略(症)
embolism	血栓症
pulmonary embolism	肺血栓症
embryonal rhabdomyosarcoma	胎児性横紋筋肉腫
embryonal sarcoma	胎芽性肉腫
embryonal teratoma	胎児性奇形腫
emesis	嘔吐
emphraxis	閉塞
emphysema	気腫
subcutaneous emphysema	皮下気腫
traumatic emphysema	外傷性気腫
emphysematous vaginitis	気腫性膣炎
empyema	蓄膿
empyesis	膿疱疹
empyocele	臍膿腫∥陰嚢膿腫
encephalalgia	頭痛
encephalemia	脳充血
encephalitis	脳炎
Japanese encephalitis	日本脳炎
encephalocele	脳ヘルニア
encephalolith	脳石(cerebral calculus)
encephalolithiaisis	脳結石症
encephalomeningitis	脳髄膜炎
encephalomeningocele	脳髄膜瘤
encephalomeningopathy	脳髄膜症(meningoencephalopathy)
encephalomyelitis	脳脊髄炎
encephalomyelopathy	脳脊髄症
encephalopathy	脳症∥脳障害
encephalopyosis	脳化膿[症]∥脳膿瘍
encephalorrhagia	脳出血(brain hemorrhage; cerebral hemorrhage; hematencephalon)
enchondromatosis	内軟骨腫症
endarteritis	動脈内膜炎
endobronchitis	気管支上皮炎
endocardial fibroelastosis	心内膜線維弾性症[略 EFE/略 ECFE/略 EF]
endocardial fibrosis	心内膜線維症
endocarditis	心内膜炎
subacute bacterial endocarditis	亜急性細菌性心内膜炎[略 SBE]
endocolitis	結腸粘膜炎
endogenic infection	内因性感染
endogenic toxicosis	内因性中毒症
endometriosis	子宮内膜症∥エンドメトリオーシス
endometritis	子宮内膜炎
endoperitonitis	腹腔漿膜炎
endorhinitis	鼻腔粘膜炎
endosalpingitis	卵管内膜炎
endosalpingoma	卵管腺筋腫
endosalpingosis	卵管内膜症
endosteoma	骨内膜腫
endothelial myeloma	内皮性骨髄腫
endotheliocytosis	内皮細胞増加症∥内皮細胞増加∥内皮細胞症
endothelioma	内皮腫
endotheliomatosis	内皮腫症
endotheliomyoma	内皮筋腫
endotheliosis	内皮症
enteritis	腸炎
enterobiasis	蟯虫症
enterocele	脱腸∥腸ヘルニア
enterocleisis	腸管閉塞
enterocolitis	小腸結腸炎
enterogastritis	胃腸炎
enteroparalysis	腸麻痺(enteroplegia)
enteropathy	腸症
enteroplegia	腸麻痺(enteroparalysis)
enteroptosis	腸下垂(症)
enterorrhagia	腸出血
enterosepsis	腸性敗血病
enterotoxemia	腸毒血症
enterotoxism	腸性中毒(症)
eosinophilia	好酸球増加症∥好酸球症(acidophilia)
eosinophilic fasciitis	好酸球性筋膜炎
eosinophilic gastritis	好酸球性胃炎
eosinophilic granuloma	好酸球性肉芽腫
eosinophilic otitis media	好酸球性中耳炎
eosinophilic pneumonia	好酸球性肺炎
eosinophilic leukemia	好酸球性白血病 
eosinophiluria	好酸球尿症
ependymitis	上衣炎
ependymoblastoma	上衣芽細胞腫
ependymoma	上衣細胞腫
ependymopathy	上衣疾患
epicondylalgia	上顆痛
epidemic cerebrospinal meningitis	流行性脳脊髄膜炎∥流行性髄膜炎
epidemic encephalitis	流行性脳炎
epidemic parotitis	流行性耳下腺炎
epidemic pleurodynia	流行性胸膜痛
epidemic stomatitis	流行性口内炎
epidemic typhus	発疹チフス
epidermitis	表皮炎
epidermolysis	表皮剥離
epidermolysis acuta toxica	急性中毒性表皮剥離[略 EAT]
epidermolysis bullosa	表皮水疱症[略 EB]
epididymitis	精巣上体炎∥副睾丸炎
epidural hematoma	硬膜外血腫
epifolliculitis	毛嚢周囲炎
epiglottitis	喉頭蓋炎
epilepsy	癲癇
postapoplectic epilepsy	脳卒中後癲癇
epimenorrhagia	月経過多
epimenorrhea	頻発月経
epiphyseal fracture	骨端骨折
epiphysitis	骨端炎
epithelioid leiomyoma	類上皮平滑筋腫
epithelialoma	上皮腫
epityphlitis	虫垂炎(appendicitis)
epulis granidarum	妊娠エプーリス(pregnancy epulis)
erosive gastritis	糜爛性胃炎
erythema	紅斑
erythema palmare	手掌紅斑(palmar erythema//red palm)
erythema marginatum	輪郭性紅斑
erythema migrans	遊走性紅斑
erythema multiforme	多形性紅斑
erythema multiforme exudativum	多形滲出性紅斑
erythema nodosum	結節性紅斑(nodal fever)
erythema solare	日照性紅斑
erythermalgia	肢端紅痛症
erythremia	赤血病
erythroblastosis	赤芽球症
erythroblastosis fetalis	胎児性赤芽球症∥胎児性赤芽細胞症[L][略 EBF](=hemolytic disease of the newborn)
erythrocytopenia	赤血球減少(症)(erythropenia)
erythrocytosis	赤血球増加(症)
erythroderma	紅皮症
erythroderma psoriaticum	乾癬性紅皮症[L](=psoriatic erythroderma)
erythrodontia	赤色歯∥紅変歯[[歯]]
erythrodysesthesia syndrome	赤色異感覚症候群
erythrokeratodermia	紅斑角皮症
erythroleukemia	赤白血病
erythropenia	赤血球減少症∥赤血球減少(erythrocytopenia)
erythroplakia	紅板症
erythroplasia	紅色肥厚症
erythropoietic abnormality	赤血球産生異常
erythruria	赤血球尿症∥血尿
esogastritis	胃粘膜炎
esophagalgia	食道痛
esophageal foreign body	食道異物
esophageal injury	食道損傷
esophagectasis	食道拡張
esophagitis	食道炎
esophagocele	食道瘤∥食道ヘルニア
esophagodynia	食道痛
esophagostenosis	食道狭窄(症)
essential hypertension	本態性高血圧
essential thrombocythemia	本態性血小板血症(略 ET)
exogenous toxicosis	外因性中毒(症)
exophthalmia	眼球突出(症)(proptosis)
exophoria	外斜位
exostosis	外骨症
exotropia	外斜視
extension fracture	伸展骨折
external inguinal hernia	外鼠蹊ヘルニア
external ophthalmoplegia	外眼筋麻痺
extrasystole	期外収縮
extrasystolic arrhythmia	期外収縮性不整脈
extrahepatic biliary obstruction	肝外胆管閉塞
exogenous eczema	外因性湿疹
exogenous mycosis	外因性真菌症
extruded disc	椎間板脱出
exudative retinopathy	滲出性網膜症
ewing's sarcoma	ユーイング肉腫
facial birth defect	先天性顔面欠損(congenital facial defect)
facial cleft	顔裂
facial granuloma	顔面肉芽腫
facial paralysis	顔面麻痺
familial hypertriglyceridemia	家族性高トリグリセリド血(症)
fasciitis	筋膜炎
fasting hypoglycemia	空腹低血糖(症)
fat hernia	脂肪ヘルニア
fatigue fracture	疲労骨折
fatty cirrhosis	脂肪性肝硬変
fatty diarrhea	脂肪性下痢(steatorrhea)
fatty infiltration	脂肪浸潤
fatty liver	脂肪肝
febrile convulsion	熱性痙攣
fecal impaction	宿便(coprostasis)
fecal incontinence	大便失禁
fecal occult blood	便潜血
femoral hernia	大腿ヘルニア
fetal alcohol syndrome	胎児性アルコール症候群[略 FAS]
fetal chondrodystrophy	胎児性軟骨ジストロフィー
fever	発熱
intermittent fever	間欠熱
rheumatic fever	リウマチ熱
fibrillation	細動
fibrinoid necrosis	類線維素壊死
fibrinous pleuritis	線維素性胸膜炎
fibroadenoma	線維腺腫
fibrodentinoma	線維象牙質腫
fibrolipoma	線維脂肪腫
fibroma	線維腫
giant cell fibroma	巨細胞性線維腫
irritation fibroma	刺激性線維腫
ossifying fibroma	化骨性線維腫
fibromatosis	線維腫症
palmar fibromatosis	手掌線維腫症
fibrometaplasia	線維性化生
fibromyalgia	線維筋痛
fibromyoma	線維筋腫
fibromyxochondroma	線維粘液軟骨腫
fibromyxoma	線維粘液腫
fibroneuroma	線維神経腫
fibro-osteoma	線維骨腫
fibropapilloma	線維乳頭腫
fibroplastic sarcoma	線維形成肉腫
fibrosarcoma	線維肉腫
fibrosis	1.線維症; 2.線維化∥線維形成
fibrotic lung disease	線維性肺疾患
fibrous osteodystrophy	線維性骨異栄養症
general fibrous osteodystrophy	汎発性線維性骨異栄養症
fibroxanthoma	線維黄色腫
filariasis	フィラリア症∥住血糸状虫症
fimbriocele	卵管采ヘルニア
fish-hook stomach	鈎状胃
fissured tongue	亀裂舌∥溝状舌(lingua dissecta[L])
flatulence	膨満∥鼓腸
flecked retina	斑点網膜
flutter	粗動
ocular flutter	眼球粗動
flying fatigue	飛行疲労
focal pneumonia	巣状肺炎
follicular adenoma	濾胞状腺腫
follicular tonsillitis	濾胞性扁桃炎
folliculitis	毛包炎∥毛嚢炎
food allergy	食物アレルギー
foraminal hernia	大孔ヘルニア
foraminal stenosis	椎孔狭窄(症)
foreign body	異物
foreign body granuloma	異物肉芽腫
foreign body reaction	異物反応
fracture	骨折
acetabular fracture	寛骨臼骨折
oblique fracture	斜骨折
open fracture	開放骨折
shearing fracture	剪端骨折
spiral fracture	螺旋骨折
subcapital fracture	骨頭下骨折
subtrochanteric fracture	転子下骨折
transverse fracture	横骨折
traumatic fracture	外傷性骨折
vertical fracture	縦骨折
fracture of talus	距骨骨折
Frey syndrome	フレイ症候群
frontal sinusitis	前頭洞炎
frothy blood	泡沫性血液
frothy urine	泡沫性尿
frozen gait	凍結歩行
fulminant hepatic failure	劇症性肝不全(略 *FHF)
fulminant hepatitis	劇症性肝炎
functional bowel disorder	機能性腸障害
fundus hypertonicus	高血圧眼底[L]
fungal conjunctivitis	真菌性角膜炎
fungal esophagitis	真菌性食道炎
fungal infection	真菌性感染(mycotic infection; mycosis)
fungal pneumonia	真菌性肺炎
funiculitis	1.髄索炎；2.精索炎
funnel chest	漏斗胸(koilosternia; chonechondrosternon; pectus excavatum[L])
gait	歩行
paralytic gait	麻痺性歩行
steppage gait	ニワトリ歩行∥鶏歩
galactidrosis	乳汗症
galactocele	乳瘤
galacturia	乳様尿
gallstone	胆石(cholelith; chololith)
gallstone disease	胆石症(cholelithiasis)
gangliocytoma	神経節細胞腫
ganglion	ガングリオン∥節腫
ganglioneuroblastoma	神経節芽細胞腫
ganglioneuroma	神経節性神経腫
ganglionitis	神経節炎
gangrene	壊疽
dry gangrene	乾性壊疽
gas gangrene	ガス壊疽
moist gangrene	湿性壊疽(wet gangrene)
wet gangrene	湿性壊疽(moist gangrene)
gangrenous stomatitis	壊疽性口内炎
gasping respiration	喘ぎ呼吸
gastralgia	胃痛
gastric antral vascular ectasia	胃前庭部毛細血管拡張症
gastric hypersecretion	胃酸分泌過多∥過酸症
gastric ulcer	胃潰瘍
gastrinoma	ガストリン産生腫瘍∥ガストリノーマ
gastritis	胃炎
gastrocele	胃ヘルニア
gastroduodenitis	胃十二指腸炎
gastrodynia	胃痛
gastroenteritis	胃腸炎
gastroenteropathy	胃腸病
gastroesophageal hernia	胃食道ヘルニア
gastroesophagitis	胃食道炎
gastrogenic diarrhea	胃性下痢
gastrohepatitis	胃肝炎
gastroileitis	胃回腸炎
gastrojejunitis	胃空腸炎
gastrolith	胃石
gastromycosis	胃真菌症 
gastromyxorrhea	胃粘液漏
gastroptosis	胃下垂
gastrorrhagia	胃出血
gastrorrhea	胃酸分泌過多
gastrospasm	胃痙攣
gastrostaxis	胃出血
general paresis	全身性不全麻痺
generalized convulsive seizure	全身性痙攣発作
generalized seizure	全身性発作
geographic choroidopathy	地図状脈絡膜症
geographic keratitis	地図状角膜炎
geographic stippling of nails	爪甲地図状斑点
geographic tongue	地図状舌
germinoma	胚細胞腫
giant cell	巨細胞
giant cell myocarditis	巨細胞心筋炎
giant cell tumor	骨巨細胞腫∥巨細胞腫(giant cell tumor of bone)
giant cell tumor of bone	骨巨細胞腫(giant cell tumor)
gigantism	巨人症
gigantomastia	巨乳症
gingivitis	歯肉炎
gingivosis	歯肉症
gingivostomatitis	歯肉口内炎[[歯]]
girdle pain	帯状痛
glandular cheilitis	腺性口唇炎
glaucoma	緑内障
glaucoma fulminans	劇症性緑内障
glioblastoma	神経膠芽細胞腫∥膠芽細胞腫∥グリア芽細胞腫(spongioblastoma)
gliocytoma	神経膠腫∥グリア細胞腫
glioma	膠腫∥神経膠腫∥グリオーム
gliomatosis	神経膠腫症
gliosis	神経膠症∥グリオーシス
gliosis uteri	子宮グリオーシス
glomerular nephritis	糸球体腎炎(glomerulonephritis)
glomerular sclerosis	糸球体腎硬化症(glomerulosclerosis)
glomerulitis	糸球体炎
glomerulonephritis	糸球体腎炎
lobular glomerulonephritis	分葉性糸球体腎炎
membranoproliferative glomerulonephritis	膜性増殖性糸球体腎炎
membranous glomerulonephritis	膜性糸球体腎炎
necrotizing glomerulonephritis	壊死性糸球体腎炎
glomerulopathy	糸球体症
glomerulosclerosis	糸球体硬化症
glossitis	舌炎
papular glossitis	丘疹性舌炎
glossitis catarrhalis	カタル性舌炎
glossitis migrans	移動性舌炎
glossodynia	舌痛
glossopharyngeal neuralgia	舌咽神経痛
glossoptosis	舌下垂
glucagonoma	グルカゴノーマ∥グルカゴン産生腫瘍
glycemia	血糖症
glycogen storage disease	糖原病∥糖原蓄積病∥糖原貯蔵症∥グリコーゲン貯蔵症(略 GSD)
glycopenia	糖欠乏症
glycosuria	糖尿症
gnathopalatoschisis	顎口蓋裂
gnathostomiasis	顎口虫症
goiter	甲状腺腫(struma)
gonadal dysgenesis	性腺形成異常(症)
gonadoblastoma	性腺芽細胞腫∥性腺芽腫 
gonarthritis	膝関節炎(gonitis)
gonarthrosis	膝関節症∥変形性膝関節症
gonitis	膝関節炎(gonarthritis)
gonorrheal arthralgia	淋菌性関節痛
gonorrheal arthritis	淋菌性関節炎
gonorrheal rheumatism	淋菌性リウマチ
gonorrheal stomatitis	淋菌性口内炎[[歯]]
gonorrheal urethritis	淋菌性尿道炎
gout	痛風(gouty a.)
gouty diabetes	痛風性糖尿病
gouty eczema	痛風性湿疹
grand mal	大発作[略 GM]
granulocytopenia	顆粒球減少(症)
granulocytosis	顆粒球増加(症)
granuloma	肉芽腫
laryngeal granuloma	喉頭肉芽腫
